52913-1089-567,0,16,32.43,0,14,21.6,3.3298,4.68,0,3.6,0,0
52518-0687-139,0,16,34.35,-1,6,22.8,3.6571,17.16,0,2.97,0,0
52251-0752-043,0,16,37.08,13,56,53.4,2.5735,9.68,12,1.31,3,0
52251-0752-042,0,16,37.59,13,44,33.5,3.3543,8.69,0,1.45,0,0
51795-0389-567,0,16,41.17,1,0,45.2,3.0384,8.6,0,1.13,1,1
52518-0687-095,0,16,45.49,0,43,57.4,2.2505,6.01,0,1.02,1,1
51900-0390-331,0,16,57,0,55,32.1,1.7559,4.72,0,0.81,1,1
52251-0752-044,0,17,10.85,13,55,56.5,1.8079,4.22,0,1.78,2,2
52929-1088-331,0,17,31.7,0,49,10.1,2.4327,6.23,0,3.55,0,0
52203-0688-317,0,17,34.78,0,19,8.3,2.1123,11.06,0,1.57,1,0
52138-0652-041,0,17,41.87,-10,56,13.2,1.8061,6.75,0,1.43,0,0
52203-0688-302,0,17,47.79,0,18,15.9,2.4996,4.04,0,1.5,0,0
52251-0752-005,0,17,47.92,14,10,15.7,3.955,10.5,0,1.32,4,0
51795-0389-611,0,18,0.2,0,46,2.8,1.9003,8.62,0,1.33,2,1
52233-0753-310,0,18,13.89,14,24,55.6,4.2355,9.3,0,1.42,0,0
52233-0753-291,0,18,20.71,14,18,51.5,3.9361,16.64,0,1.24,0,0
52138-0652-578,0,18,26.8,-9,10,38.7,1.8595,7.74,0,1.41,0,0
52996-1491-623,0,19,4.83,0,34,36.5,2.117,8.1,0,1.35,1,1
52233-0753-338,0,19,14.46,15,55,55.9,2.2708,5.63,0,1.67,1,1
52203-0688-343,0,19,17.31,0,27,35.4,2.3906,10.6,0,1.73,0,0
51900-0390-365,0,19,19.31,1,1,52.2,2.2998,7.29,0,0.81,4,4
53321-1913-334,0,19,48.98,-9,19,22.2,3.3046,11.24,0,0.81,5,1
51900-0390-271,0,19,50.06,0,40,40.8,4.3273,7.46,0,0.64,2,0
52138-0652-614,0,19,54.66,-9,13,16.5,2.1261,4.7,0,1.29,0,0
52233-0753-374,0,20,0.5,15,51,10,1.7506,11.18,0,1.29,0,0
53321-1913-389,0,20,4.5,-9,24,58.6,2.5513,5.52,0,2.64,1,1
